stickman,x,y,money,health,inventory_slot2,inventory_slot3,inventory_slot4,inventory_slot5,inventory_slot6,inventory_slot7,inventory_slot8,condition,time
stickman.png,123,124,500,100,glock,1,1,1,1,1,1,bank,2024-01-19 11:09 PM
stickman.png,123,124,50000,150,glock,ak47,rpg,apple,blade,grenade,banana,bank,2024-01-19 11:26 PM
stickman.png,300,100,10,100,glock,1,1,1,1,1,1,world,2026-05-14 02:35 AM
stickman.png,300,100,10,100,glock,1,1,1,1,1,1,world,2026-05-14 02:51 AM
stickman.png,300,100,10,100,glock,1,1,1,1,1,1,world,2026-05-14 03:02 AM
